nr,skill,text,hanzi,record_as,target_hash
31,numbers,lag8 六,六,031.m4a,4b273e0a1858849ad486b447cd73eeed7771f40980e1c06354cb385363f216d1
32,numbers,cig4 七,七,032.m4a,45503589560d807c7f47122d0a6edf1c27fd85b6b439d081c76c0b2f1732dc51
33,numbers,boih4 八,八,033.m4a,bc7f31ed01b2e4588b7de63915e6b0375a9fbfb7551429dcce6c190218514178
34,numbers,gao2 九,九,034.m4a,6fe8cd3174e390920220b1255a2d38e1f97266ee51ad0b9f9bc30fe64515981c
35,numbers,zab8 十,十,035.m4a,7f0db625ce1356abe96d6b90f12b95bd4c146a2e958622cd472112b80298a547
36,numbers,Zi2zung5 gui2 diam2?,只陣幾點,036.m4a,7f8beced953cae0c648877fedb06c3005a60abaad49814a81b18f58b15f31689
37,numbers,san1 diam2 buan3,三點半,037.m4a,4b4bb4bd913a662e6ec0f6035dc842c301729e745731c31a5994f8678ef4f6aa
38,pronouns,ua2 我,我,038.m4a,d1336240f2dddff4a93fa68ea5c14912e8abc71b0cb1bfc4b1ddb9ae644b6f4a
39,pronouns,le2 汝,汝,039.m4a,2a04365895d986c5c3e55d8493fc844c801abc5c039a3574d4626042dcf42b36
40,pronouns,i1 伊,伊,040.m4a,ead3a9948c05eac9eb228ddcc78441e3306a5fa400df33c07a512d50eec66567
41,pronouns,nang2 俺,俺,041.m4a,2345ce66b2a42caaac1a3cbe6fa81e11a47f2d06e69785c0f9f522b154c435aa
42,pronouns,uang2 阮,阮,042.m4a,1707e131dfcbe840cc465d9918b63e303bc324003740887ec27cb40430e2c726
43,pronouns,ning2 恁,恁,043.m4a,b980550905b5256fce00ee92197b5765cd307354cbaca76da3d2a7ff8263a633
44,pronouns,i1nang7 伊儂,伊儂,044.m4a,7cf085d5b638cfe37b9850c05bb85bb457af3718257ddb2383fdbe293bea7c2c
